Country,Year,Happiness score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
North Cyprus*,2022,5.467,1.815,0.888,0.819,0.523,0.13,0.213
Russia,2022,5.459,1.685,1.095,0.586,0.401,0.117,0.08
Hong Kong S.A.R. of China,2022,5.425,1.957,0.954,0.942,0.4,0.147,0.383
Armenia,2022,5.399,1.434,0.82,0.668,0.558,0.054,0.21
Tajikistan,2022,5.377,0.966,1.005,0.518,0.572,0.118,0.304
Nepal,2022,5.377,0.984,0.784,0.499,0.519,0.237,0.13
Bulgaria,2022,5.371,1.625,1.163,0.64,0.563,0.123,0.021
Libya*,2022,5.33,1.476,0.943,0.606,0.477,0.106,0.179
Indonesia,2022,5.24,1.382,0.883,0.539,0.62,0.468,0.047
Ivory Coast,2022,5.235,1.094,0.442,0.322,0.451,0.149,0.124
North Macedonia,2022,5.199,1.505,0.863,0.637,0.488,0.215,0.031
Albania,2022,5.199,1.439,0.646,0.719,0.511,0.138,0.028
South Africa,2022,5.194,1.425,1.088,0.361,0.442,0.089,0.046
Azerbaijan*,2022,5.173,1.458,1.093,0.56,0.601,0.023,0.341
Gambia*,2022,5.164,0.785,0.621,0.369,0.367,0.388,0.103
Bangladesh,2022,5.155,1.06,0.614,0.581,0.622,0.125,0.187
Laos,2022,5.14,1.239,0.654,0.479,0.679,0.197,0.184
Algeria,2022,5.122,1.363,0.97,0.643,0.146,0.106,0.15
Liberia*,2022,5.122,0.636,0.67,0.309,0.405,0.178,0.08
Ukraine,2022,5.084,1.411,1.081,0.583,0.473,0.188,0.017
Congo,2022,5.075,0.95,0.405,0.355,0.431,0.13,0.146
Morocco,2022,5.06,1.208,0.268,0.565,0.492,0.02,0.102
Mozambique,2022,5.048,0.578,0.66,0.191,0.593,0.185,0.2
Cameroon,2022,5.048,0.968,0.672,0.317,0.397,0.152,0.074
Senegal,2022,5.046,0.933,0.53,0.447,0.494,0.143,0.081
Niger*,2022,5.003,0.57,0.56,0.326,0.571,0.165,0.145
Georgia,2022,4.973,1.467,0.612,0.595,0.508,0,0.208
Gabon,2022,4.958,1.459,0.738,0.396,0.343,0.032,0.099
Iraq,2022,4.941,1.289,0.682,0.554,0.328,0.147,0.046
Venezuela,2022,4.925,0,0.968,0.578,0.283,0.225,0.082
Guinea,2022,4.891,0.848,0.566,0.275,0.334,0.214,0.116
Iran,2022,4.888,1.41,0.741,0.642,0.281,0.241,0.146
Ghana,2022,4.872,1.112,0.595,0.409,0.5,0.23,0.056
Turkey,2022,4.744,1.707,0.865,0.702,0.209,0.087,0.115
Burkina Faso,2022,4.67,0.779,0.565,0.32,0.382,0.186,0.126
Cambodia,2022,4.64,1.019,0.732,0.505,0.74,0.166,0.068
Benin,2022,4.623,0.932,0.064,0.335,0.479,0.127,0.23
Comoros*,2022,4.609,0.899,0.476,0.424,0.185,0.195,0.125
Uganda,2022,4.603,0.777,0.875,0.418,0.402,0.222,0.066
Nigeria,2022,4.552,1.079,0.732,0.3,0.444,0.175,0.038
Kenya,2022,4.543,1.032,0.605,0.401,0.44,0.322,0.082
Tunisia,2022,4.516,1.35,0.596,0.656,0.316,0.029,0.029
Pakistan,2022,4.516,1.049,0.413,0.374,0.448,0.181,0.112
Palestinian Territories*,2022,4.483,1.148,0.957,0.521,0.336,0.073,0.079
Mali,2022,4.479,0.792,0.483,0.311,0.35,0.128,0.042
Namibia,2022,4.459,1.292,0.877,0.354,0.384,0.067,0.071
"Eswatini, Kingdom of*",2022,4.396,1.274,0.786,0.197,0.259,0.038,0.154
Myanmar,2022,4.394,1.038,0.829,0.491,0.513,0.452,0.194
Sri Lanka,2022,4.362,1.415,0.934,0.66,0.529,0.15,0.079
Madagascar*,2022,4.339,0.67,0.645,0.378,0.202,0.143,0.154
Egypt,2022,4.288,1.388,0.732,0.548,0.469,0.041,0.254
Chad*,2022,4.251,0.662,0.506,0.225,0.18,0.182,0.077
Ethiopia,2022,4.241,0.788,0.809,0.457,0.472,0.205,0.136
Yemen*,2022,4.197,0.691,1.043,0.384,0.33,0.09,0.098
Mauritania*,2022,4.153,1.1,0.865,0.45,0.304,0.088,0.138
Jordan,2022,4.152,1.324,0.724,0.675,0.476,0.058,0.2
Togo,2022,4.112,0.771,0.322,0.36,0.292,0.174,0.132
India,2022,3.777,1.167,0.376,0.471,0.647,0.198,0.123
Zambia,2022,3.76,0.93,0.577,0.306,0.525,0.203,0.083
Malawi,2022,3.75,0.648,0.279,0.388,0.477,0.14,0.157
Tanzania,2022,3.702,0.848,0.597,0.425,0.578,0.248,0.27
Sierra Leone,2022,3.574,0.686,0.416,0.273,0.387,0.202,0.055
Lesotho*,2022,3.512,0.839,0.848,0,0.419,0.076,0.018
Botswana*,2022,3.471,1.503,0.815,0.28,0.571,0.012,0.102
Rwanda*,2022,3.268,0.785,0.133,0.462,0.621,0.187,0.544
Zimbabwe,2022,2.995,0.947,0.69,0.27,0.329,0.106,0.105
Lebanon,2022,2.955,1.392,0.498,0.631,0.103,0.082,0.034
Afghanistan,2022,2.404,0.758,0,0.289,0,0.089,0.005
Finland,2023,7.804,10.792,0.969,71.15,0.961,-0.019,0.182
Denmark,2023,7.586,10.962,0.954,71.25,0.934,0.134,0.196
Iceland,2023,7.53,10.896,0.983,72.05,0.936,0.211,0.668
Israel,2023,7.473,10.639,0.943,72.697,0.809,-0.023,0.708
Netherlands,2023,7.403,10.942,0.93,71.55,0.887,0.213,0.379
Sweden,2023,7.395,10.883,0.939,72.15,0.948,0.165,0.202
Norway,2023,7.315,11.088,0.943,71.5,0.947,0.141,0.283
Switzerland,2023,7.24,11.164,0.92,72.9,0.891,0.027,0.266
Luxembourg,2023,7.228,11.66,0.879,71.675,0.915,0.024,0.345
New Zealand,2023,7.123,10.662,0.952,70.35,0.887,0.175,0.271
Austria,2023,7.097,10.899,0.888,71.15,0.855,0.102,0.497
Australia,2023,7.095,10.821,0.934,71.05,0.89,0.198,0.496
Canada,2023,6.961,10.773,0.929,71.4,0.874,0.153,0.42
Ireland,2023,6.911,11.527,0.905,71.3,0.874,0.092,0.358
United States,2023,6.894,11.048,0.919,65.85,0.8,0.137,0.689
Germany,2023,6.892,10.879,0.896,71.3,0.846,0.03,0.42
Belgium,2023,6.859,10.844,0.915,70.899,0.825,0.001,0.549
Czechia,2023,6.845,10.611,0.953,69.05,0.903,0.04,0.859
United Kingdom,2023,6.796,10.704,0.882,70.3,0.852,0.253,0.454
Lithuania,2023,6.763,10.568,0.939,67.397,0.748,-0.145,0.805
France,2023,6.661,10.701,0.909,72.3,0.819,-0.1,0.553
Slovenia,2023,6.65,10.588,0.951,71.052,0.913,0.014,0.771
Costa Rica,2023,6.609,9.952,0.872,70,0.895,-0.07,0.768
Romania,2023,6.589,10.339,0.848,67.051,0.856,-0.172,0.929
Singapore,2023,6.587,11.571,0.878,73.8,0.878,0.063,0.146
United Arab Emirates,2023,6.571,11.145,0.826,66.243,0.942,0.096,0.584
Taiwan Province of China,2023,6.535,10.797,0.884,69.6,0.804,-0.129,0.681
Uruguay,2023,6.494,10.037,0.913,67.5,0.895,-0.065,0.575
Slovakia,2023,6.469,10.353,0.953,68.838,0.753,-0.016,0.898
Saudi Arabia,2023,6.463,10.715,0.884,64.399,0.894,-0.081,0.691
Estonia,2023,6.455,10.541,0.946,69.65,0.929,0.032,0.409
Spain,2023,6.436,10.54,0.932,72.35,0.782,-0.066,0.711
Italy,2023,6.405,10.634,0.882,72.05,0.711,-0.074,0.842
Kosovo,2023,6.368,9.359,0.844,65.195,0.861,0.259,0.866
Chile,2023,6.334,10.114,0.889,70.3,0.792,-0.011,0.823
Mexico,2023,6.33,9.85,0.804,65.8,0.856,-0.094,0.768
Malta,2023,6.3,10.661,0.923,71.6,0.886,0.119,0.729
Panama,2023,6.265,10.305,0.896,68.95,0.855,-0.133,0.878
Poland,2023,6.26,10.453,0.925,69.049,0.765,-0.031,0.736
Nicaragua,2023,6.259,8.618,0.853,65.65,0.877,0.021,0.625
Latvia,2023,6.213,10.37,0.937,66.4,0.818,-0.056,0.83
Bahrain,2023,6.173,10.776,0.844,65.825,0.944,0.117,0.737
Guatemala,2023,6.15,9.116,0.812,62.9,0.856,-0.057,0.837
Kazakhstan,2023,6.144,10.166,0.931,65.802,0.853,0,0.721
Serbia,2023,6.144,9.854,0.873,67.088,0.845,0.204,0.816
Cyprus,2023,6.13,10.611,0.826,72.802,0.724,-0.06,0.86
Japan,2023,6.129,10.616,0.894,74.349,0.799,-0.237,0.64
Croatia,2023,6.125,10.341,0.917,68.95,0.757,-0.093,0.925
Brazil,2023,6.125,9.582,0.836,65.749,0.801,-0.009,0.738
El Salvador,2023,6.122,9.089,0.755,65.597,0.918,-0.108,0.62
Hungary,2023,6.041,10.419,0.943,67.5,0.758,-0.059,0.839
Argentina,2023,6.024,9.959,0.891,67.2,0.823,-0.089,0.814
Honduras,2023,6.023,8.635,0.766,64.063,0.843,0.097,0.843
Uzbekistan,2023,6.014,8.948,0.875,65.301,0.938,0.23,0.638
Malaysia,2023,6.012,10.169,0.799,65.662,0.877,0.16,0.758
Portugal,2023,5.968,10.429,0.878,71.25,0.902,-0.196,0.878
South Korea,2023,5.951,10.693,0.812,73.65,0.717,-0.046,0.701
Greece,2023,5.931,10.288,0.835,71.15,0.568,-0.24,0.793
Mauritius,2023,5.902,9.957,0.888,63.85,0.813,-0.028,0.775
Thailand,2023,5.843,9.751,0.874,68.45,0.85,0.289,0.91
Mongolia,2023,5.84,9.372,0.933,60.5,0.701,0.19,0.849
Kyrgyzstan,2023,5.825,8.486,0.911,66.852,0.934,0.181,0.904
Moldova,2023,5.819,9.499,0.857,65.299,0.84,-0.08,0.901
China,2023,5.818,9.738,0.836,68.689,0.882,-0.041,0.727
Vietnam,2023,5.763,9.287,0.821,65.502,0.939,-0.004,0.759
Paraguay,2023,5.738,9.51,0.906,65.9,0.891,0.021,0.843
Montenegro,2023,5.722,9.813,0.89,67.1,0.805,0.063,0.844
Jamaica,2023,5.703,9.165,0.867,66.6,0.822,-0.106,0.875
Bolivia,2023,5.684,8.985,0.811,63.599,0.868,-0.063,0.846
Russia,2023,5.661,10.21,0.889,64.947,0.719,-0.03,0.801
Bosnia and Herzegovina,2023,5.633,9.616,0.88,67.275,0.746,0.206,0.918
Colombia,2023,5.63,9.584,0.822,69.35,0.804,-0.104,0.834
Dominican Republic,2023,5.569,9.811,0.827,64.399,0.85,-0.099,0.657
Ecuador,2023,5.559,9.27,0.806,69,0.802,-0.108,0.833
Peru,2023,5.526,9.402,0.798,69.85,0.794,-0.119,0.892
Philippines,2023,5.523,8.979,0.78,62.038,0.919,-0.06,0.732
Bulgaria,2023,5.466,10.087,0.918,66.5,0.801,-0.057,0.911
Nepal,2023,5.36,8.256,0.748,61.847,0.808,0.146,0.783
Armenia,2023,5.342,9.615,0.79,67.789,0.796,-0.155,0.705
Tajikistan,2023,5.33,8.237,0.836,62.226,0.832,-0.06,0.522
Algeria,2023,5.329,9.3,0.855,66.549,0.571,-0.117,0.717
Hong Kong S.A.R. of China,2023,5.308,10.966,0.817,77.28,0.687,-0.026,0.385
Albania,2023,5.277,9.567,0.718,69.15,0.794,-0.007,0.878
Indonesia,2023,5.277,9.385,0.804,63.048,0.88,0.531,0.876
South Africa,2023,5.275,9.478,0.907,56.989,0.73,-0.087,0.902
Congo (Brazzaville),2023,5.267,8.095,0.605,56.85,0.73,-0.004,0.739
North Macedonia,2023,5.254,9.703,0.805,66.5,0.769,0.131,0.902
Venezuela,2023,5.211,5.527,0.839,64.05,0.659,0.128,0.811
Laos,2023,5.111,8.962,0.679,60.946,0.919,0.091,0.703
Georgia,2023,5.109,9.646,0.716,64.95,0.786,-0.254,0.649
Guinea,2023,5.072,7.88,0.649,54.185,0.659,0.125,0.787
Ukraine,2023,5.071,9.314,0.878,64.55,0.795,0.24,0.907
Ivory Coast,2023,5.053,8.576,0.572,55.953,0.733,0.003,0.746
Gabon,2023,5.035,9.537,0.746,58.252,0.642,-0.187,0.786
Nigeria,2023,4.981,8.496,0.74,54.891,0.718,0.073,0.911
Cameroon,2023,4.973,8.217,0.686,55.847,0.686,0.015,0.846
Mozambique,2023,4.954,7.116,0.692,51.53,0.851,0.047,0.66
Iraq,2023,4.941,9.098,0.718,63.415,0.646,-0.005,0.876
State of Palestine,2023,4.908,8.716,0.859,,0.694,-0.132,0.836
Morocco,2023,4.903,8.973,0.553,63.901,0.787,-0.231,0.811
Iran,2023,4.876,9.61,0.778,66.6,0.593,0.173,0.747
Senegal,2023,4.855,8.155,0.629,59.999,0.772,0.011,0.846
Mauritania,2023,4.724,8.591,0.644,60.475,0.622,-0.013,0.657
Burkina Faso,2023,4.638,7.667,0.663,55.461,0.696,0.095,0.771
Namibia,2023,4.631,9.121,0.787,56.851,0.669,-0.126,0.83
Turkiye,2023,4.614,10.307,0.796,68.663,0.475,-0.077,0.795
Ghana,2023,4.605,8.596,0.641,58.763,0.777,0.139,0.881
Pakistan,2023,4.555,8.54,0.601,57.313,0.766,0.008,0.787
Niger,2023,4.501,7.091,0.59,56.55,0.788,0.032,0.734
Tunisia,2023,4.497,9.244,0.73,67,0.576,-0.213,0.907
Kenya,2023,4.487,8.458,0.69,58.499,0.696,0.288,0.852
Sri Lanka,2023,4.442,9.491,0.826,67.15,0.787,-0.03,0.808
Uganda,2023,4.432,7.716,0.794,58.913,0.701,0.114,0.857
Chad,2023,4.397,7.261,0.722,53.125,0.677,0.221,0.807
Cambodia,2023,4.393,8.385,0.747,61.9,0.958,0.073,0.857
Benin,2023,4.374,8.103,0.437,56.095,0.743,-0.043,0.576
Myanmar,2023,4.372,8.404,0.787,61.388,0.727,0.491,0.658
Bangladesh,2023,4.282,8.685,0.544,64.548,0.845,0.005,0.698
Gambia,2023,4.279,7.648,0.584,57.9,0.596,0.364,0.883
Mali,2023,4.198,7.655,0.593,55.403,0.713,-0.028,0.846
Egypt,2023,4.17,9.367,0.726,63.503,0.732,-0.183,0.58
Togo,2023,4.137,7.673,0.595,57.449,0.657,0.024,0.74
Jordan,2023,4.12,9.13,0.729,67.6,0.77,-0.15,0.687
Ethiopia,2023,4.091,7.739,0.782,60.698,0.72,0.273,0.789
Liberia,2023,4.042,7.277,0.596,56.7,0.735,0.154,0.83
India,2023,4.036,8.759,0.608,60.777,0.897,0.072,0.774
Madagascar,2023,4.019,7.29,0.65,58.05,0.522,0.075,0.742
Zambia,2023,3.982,8.074,0.694,55.032,0.791,0.098,0.818
Tanzania,2023,3.694,7.857,0.653,59.401,0.838,0.182,0.554
Comoros,2023,3.545,8.075,0.471,59.425,0.47,-0.014,0.727
Malawi,2023,3.495,7.302,0.531,58.475,0.75,0.005,0.749
Botswana,2023,3.435,9.629,0.753,54.725,0.742,-0.215,0.83
Congo (Kinshasa),2023,3.207,7.007,0.652,55.375,0.664,0.086,0.834
Zimbabwe,2023,3.204,7.641,0.69,54.05,0.654,-0.046,0.766
Sierra Leone,2023,3.138,7.394,0.555,54.9,0.66,0.105,0.858
Lebanon,2023,2.392,9.478,0.53,66.149,0.474,-0.141,0.891
Afghanistan,2023,1.859,7.324,0.341,54.712,0.382,-0.081,0.847
